"","Collar","C","N","C.N","Block","Plot","Treatment"
"1","4-15-con",13.73,1.06,13,4,15,"control"
"2","4-15-war",8.76,0.65,13.5,4,15,"warming"
"3","4-19-con",9.84,0.76,12.9,4,19,"control"
"4","4-19-war",9.41,0.76,12.4,4,19,"warming"
"5","2-20-war",4.82,0.4,12,2,20,"warming"
"6","3-3-con",7.91,0.65,12.2,3,3,"control"
"7","3-3-war",11.26,0.83,13.6,3,3,"warming"
"8","3-12-con",12.26,0.89,13.8,3,12,"control"
"9","3-12-war",10.3,0.77,13.4,3,12,"warming"
"10","3-14-con",10.73,0.86,12.5,3,14,"control"
"11","3-14-war",8.36,0.66,12.7,3,14,"warming"
"12","3-16-con",14.53,1.2,12.1,NA,NA,NA
"13","3-16-war",11.68,0.93,12.6,NA,NA,NA
"14","4-6-con",9.79,0.8,12.2,NA,NA,NA
"15","4-6-war",11.91,0.89,13.4,NA,NA,NA
"16","4-8-con",13.21,0.97,13.6,4,8,"control"
"17","4-8-war",12.84,0.94,13.7,4,8,"warming"
"18","4-11-con",14.67,1.04,14.1,4,11,"control"
"19","4-11-war",11.18,0.9,12.4,4,11,"warming"
"20","1-2-con",5.81,0.47,12.4,NA,NA,NA
"21","1-2-war",5.63,0.42,13.4,NA,NA,NA
"22","1-4-con",4.76,0.41,11.6,1,4,"control"
"23","1-4-war",11.67,0.85,13.7,1,4,"warming"
"24","1-5-con",8.72,0.67,13,NA,NA,NA
"25","1-5-war",11.09,0.81,13.7,NA,NA,NA
"26","1-7-con",6.03,0.48,12.6,1,7,"control"
"27","1-7-war",4.95,0.4,12.4,1,7,"warming"
"28","1-9-con",5.07,0.41,12.4,1,9,"control"
"29","1-9-war",8.27,0.55,15,1,9,"warming"
"30","2-17-con",10.26,0.81,12.7,2,17,"control"
"31","2-17-war",8.62,0.63,13.7,2,17,"warming"
"32","2-18-con",4,0.34,11.8,NA,NA,NA
"33","2-18-war",4.85,0.41,11.8,NA,NA,NA
"34","2-20-con",4.16,0.35,11.9,2,20,"control"
